"Befolkning efter region, utbildningsnivå och år"
"1267 Höör" "eftergymnasial utbildning, 3 år eller mer" 1136 1535 1851 2099
"1270 Tomelilla" "eftergymnasial utbildning, 3 år eller mer" 620 781 958 1046
"1272 Bromölla" "eftergymnasial utbildning, 3 år eller mer" 558 703 869 973
"1273 Osby" "eftergymnasial utbildning, 3 år eller mer" 640 806 895 1006
"1275 Perstorp" "eftergymnasial utbildning, 3 år eller mer" 333 386 434 486
"1276 Klippan" "eftergymnasial utbildning, 3 år eller mer" 788 978 1139 1234
"1277 Åstorp" "eftergymnasial utbildning, 3 år eller mer" 496 643 828 1001
"1278 Båstad" "eftergymnasial utbildning, 3 år eller mer" 1339 1581 1784 1941
"1280 Malmö" "eftergymnasial utbildning, 3 år eller mer" 30887 40701 50084 58449
"1281 Lund" "eftergymnasial utbildning, 3 år eller mer" 23437 25967 29233 32588
"1282 Landskrona" "eftergymnasial utbildning, 3 år eller mer" 2354 3127 3713 4320
"1283 Helsingborg" "eftergymnasial utbildning, 3 år eller mer" 11331 14176 16395 18617
"1284 Höganäs" "eftergymnasial utbildning, 3 år eller mer" 2392 3004 3439 3883
"1285 Eslöv" "eftergymnasial utbildning, 3 år eller mer" 1942 2562 3066 3512
"1286 Ystad" "eftergymnasial utbildning, 3 år eller mer" 2300 2823 3277 3719
"1287 Trelleborg" "eftergymnasial utbildning, 3 år eller mer" 2338 3058 3725 4173
"1290 Kristianstad" "eftergymnasial utbildning, 3 år eller mer" 7010 8388 9507 10447
"1291 Simrishamn" "eftergymnasial utbildning, 3 år eller mer" 1590 1913 2181 2327
"1292 Ängelholm" "eftergymnasial utbildning, 3 år eller mer" 3345 4061 4488 4937
"1293 Hässleholm" "eftergymnasial utbildning, 3 år eller mer" 3410 4175 4765 5290
"1315 Hylte" "eftergymnasial utbildning, 3 år eller mer" 436 532 619 691
"1380 Halmstad" "eftergymnasial utbildning, 3 år eller mer" 8015 10023 11604 13313
"1381 Laholm" "eftergymnasial utbildning, 3 år eller mer" 1261 1594 1851 2146
"1382 Falkenberg" "eftergymnasial utbildning, 3 år eller mer" 2198 2851 3396 3932
"1383 Varberg" "eftergymnasial utbildning, 3 år eller mer" 3935 5153 6151 7212
"1384 Kungsbacka" "eftergymnasial utbildning, 3 år eller mer" 7066 8808 10461 11988
"1401 Härryda" "eftergymnasial utbildning, 3 år eller mer" 3381 4234 5137 6081
"1402 Partille" "eftergymnasial utbildning, 3 år eller mer" 3781 4445 5215 6058
"1407 Öckerö" "eftergymnasial utbildning, 3 år eller mer" 890 1105 1310 1516
"1415 Stenungsund" "eftergymnasial utbildning, 3 år eller mer" 1748 2281 2675 3123
"1419 Tjörn" "eftergymnasial utbildning, 3 år eller mer" 1215 1438 1642 1889
"1421 Orust" "eftergymnasial utbildning, 3 år eller mer" 989 1247 1427 1541
"1427 Sotenäs" "eftergymnasial utbildning, 3 år eller mer" 653 744 846 970
"1430 Munkedal" "eftergymnasial utbildning, 3 år eller mer" 442 553 636 728
"1435 Tanum" "eftergymnasial utbildning, 3 år eller mer" 781 899 1097 1249
"1438 Dals-Ed" "eftergymnasial utbildning, 3 år eller mer" 225 279 301 338
"1439 Färgelanda" "eftergymnasial utbildning, 3 år eller mer" 293 354 395 430
