"Sammanräknad förvärvsinkomst, medianinkomst för boende i Sverige den 31/12, tkr efter region, ålder och år"

"region" "ålder" "2002" "2006" "2010" "2014"
"1439 Färgelanda" "totalt 20+ år" 175.3 191.9 205.8 221.6
"1440 Ale" "totalt 20+ år" 198.0 220.6 247.3 273.7
"1441 Lerum" "totalt 20+ år" 209.5 235.3 267.0 297.3
"1442 Vårgårda" "totalt 20+ år" 185.4 207.2 228.1 250.7
"1443 Bollebygd" "totalt 20+ år" 198.9 224.0 246.8 274.5
"1444 Grästorp" "totalt 20+ år" 177.2 195.9 215.4 238.6
"1445 Essunga" "totalt 20+ år" 170.6 192.7 214.0 231.6
"1446 Karlsborg" "totalt 20+ år" 174.8 199.0 218.3 240.2
"1447 Gullspång" "totalt 20+ år" 167.2 185.7 196.0 210.0
"1452 Tranemo" "totalt 20+ år" 183.6 208.7 229.5 252.1
"1460 Bengtsfors" "totalt 20+ år" 170.1 182.9 190.8 209.0
"1461 Mellerud" "totalt 20+ år" 162.2 180.1 187.8 204.5
"1462 Lilla Edet" "totalt 20+ år" 185.7 204.5 226.2 246.2
"1463 Mark" "totalt 20+ år" 176.4 198.4 221.7 246.1
"1465 Svenljunga" "totalt 20+ år" 171.8 195.1 213.5 236.0
"1466 Herrljunga" "totalt 20+ år" 174.5 198.4 217.6 238.1
"1470 Vara" "totalt 20+ år" 168.8 190.8 212.7 233.4
"1471 Götene" "totalt 20+ år" 185.6 207.7 230.7 248.9
"1472 Tibro" "totalt 20+ år" 178.0 195.3 213.7 226.4
"1473 Töreboda" "totalt 20+ år" 163.9 182.0 198.0 217.0
"1480 Göteborg" "totalt 20+ år" 182.7 204.2 222.8 250.2
"1481 Mölndal" "totalt 20+ år" 206.2 230.8 260.5 292.3
"1482 Kungälv" "totalt 20+ år" 202.7 225.8 255.2 283.1
"1484 Lysekil" "totalt 20+ år" 178.3 199.2 219.0 240.7
"1485 Uddevalla" "totalt 20+ år" 181.0 203.4 224.1 243.8
"1486 Strömstad" "totalt 20+ år" 170.2 192.0 208.2 222.6
"1487 Vänersborg" "totalt 20+ år" 190.4 209.8 226.7 242.7
"1488 Trollhättan" "totalt 20+ år" 192.2 210.8 222.9 235.8
"1489 Alingsås" "totalt 20+ år" 188.0 210.6 231.4 259.2
"1490 Borås" "totalt 20+ år" 182.7 204.4 226.2 249.3
"1491 Ulricehamn" "totalt 20+ år" 179.8 202.4 225.9 251.2
"1492 Åmål" "totalt 20+ år" 174.1 190.7 201.8 216.1
"1493 Mariestad" "totalt 20+ år" 180.2 201.7 220.0 237.8
"1494 Lidköping" "totalt 20+ år" 183.3 208.4 231.6 252.9
"1495 Skara" "totalt 20+ år" 185.4 205.8 227.1 240.8
"1496 Skövde" "totalt 20+ år" 186.5 209.6 232.4 261.0
"1497 Hjo" "totalt 20+ år" 174.0 198.1 216.8 238.8
"1498 Tidaholm" "totalt 20+ år" 175.8 197.2 213.8 236.5
"1499 Falköping" "totalt 20+ år" 174.4 196.5 216.9 237.8
"1715 Kil" "totalt 20+ år" 180.3 202.7 221.8 243.8
"1730 Eda" "totalt 20+ år" 163.5 177.0 179.7 196.9
"1737 Torsby" "totalt 20+ år" 162.5 181.7 199.6 217.3
"1760 Storfors" "totalt 20+ år" 176.6 194.1 209.2 224.5
"1761 Hammarö" "totalt 20+ år" 204.0 230.9 262.9 291.8
"1762 Munkfors" "totalt 20+ år" 171.0 185.5 194.1 208.1
"1763 Forshaga" "totalt 20+ år" 178.8 201.1 219.0 236.2
"1764 Grums" "totalt 20+ år" 176.9 197.1 212.7 226.5
"1765 Årjäng" "totalt 20+ år" 156.9 177.9 180.4 198.7
"1766 Sunne" "totalt 20+ år" 167.8 189.1 207.6 223.9
"1780 Karlstad" "totalt 20+ år" 183.2 207.2 227.6 249.3
"1781 Kristinehamn" "totalt 20+ år" 177.4 196.7 211.5 223.4
"1782 Filipstad" "totalt 20+ år" 170.6 187.7 200.3 211.9
"1783 Hagfors" "totalt 20+ år" 173.0 189.4 205.0 224.0
"1784 Arvika" "totalt 20+ år" 170.0 193.9 210.3 230.0
"1785 Säffle" "totalt 20+ år" 171.5 189.0 201.9 212.5
"1814 Lekeberg" "totalt 20+ år" 182.0 201.1 227.5 252.3
"1860 Laxå" "totalt 20+ år" 179.5 194.7 216.3 222.5
"1861 Hallsberg" "totalt 20+ år" 182.7 201.3 217.6 243.1
"1862 Degerfors" "totalt 20+ år" 182.1 199.4 215.9 229.0
"1863 Hällefors" "totalt 20+ år" 170.2 191.7 204.8 216.1
"1864 Ljusnarsberg" "totalt 20+ år" 166.2 182.2 193.4 204.5
"1880 Örebro" "totalt 20+ år" 182.0 203.0 225.4 249.5
"1881 Kumla" "totalt 20+ år" 195.2 210.5 232.7 257.3
"1882 Askersund" "totalt 20+ år" 178.6 198.5 219.3 242.5
"1883 Karlskoga" "totalt 20+ år" 188.2 207.9 223.6 240.3
"1884 Nora" "totalt 20+ år" 180.8 203.0 222.0 241.9
"1885 Lindesberg" "totalt 20+ år" 179.5 200.9 218.6 237.2
"1904 Skinnskatteberg" "totalt 20+ år" 179.8 193.9 210.3 227.3
"1907 Surahammar" "totalt 20+ år" 193.3 211.1 227.1 241.4
"1960 Kungsör" "totalt 20+ år" 185.5 209.6 224.8 239.5
"1961 Hallstahammar" "totalt 20+ år" 184.1 203.4 220.6 237.7
"1962 Norberg" "totalt 20+ år" 179.3 198.0 219.4 231.4
"1980 Västerås" "totalt 20+ år" 189.7 210.3 234.2 258.4
"1981 Sala" "totalt 20+ år" 174.0 193.9 218.1 237.8
"1982 Fagersta" "totalt 20+ år" 188.4 207.1 223.5 240.9
"1983 Köping" "totalt 20+ år" 182.0 201.6 216.1 239.6
"1984 Arboga" "totalt 20+ år" 182.3 200.3 215.4 232.7
"2021 Vansbro" "totalt 20+ år" 166.3 183.5 196.3 213.9
"2023 Malung-Sälen" "totalt 20+ år" 170.9 194.2 212.1 230.0
"2026 Gagnef" "totalt 20+ år" 178.0 201.5 221.8 248.9
"2029 Leksand" "totalt 20+ år" 175.9 200.6 221.5 242.6
"2031 Rättvik" "totalt 20+ år" 164.8 186.7 206.7 224.1
"2034 Orsa" "totalt 20+ år" 166.0 185.1 197.0 213.7
