"region" "ålder" "år"
"0513 Kinda" "25-34 år" 1030 860 805 851
"0513 Kinda" "35-44 år" 1277 1298 1177 1051
"0513 Kinda" "45-54 år" 1378 1272 1257 1307
"0513 Kinda" "55-64 år" 1359 1476 1451 1382
"0560 Boxholm" "25-34 år" 525 460 442 508
"0560 Boxholm" "35-44 år" 665 673 654 559
"0560 Boxholm" "45-54 år" 788 730 708 733
"0560 Boxholm" "55-64 år" 733 842 814 747
"0561 Åtvidaberg" "25-34 år" 1206 1081 944 1008
"0561 Åtvidaberg" "35-44 år" 1551 1606 1533 1405
"0561 Åtvidaberg" "45-54 år" 1603 1459 1503 1542
"0561 Åtvidaberg" "55-64 år" 1652 1753 1625 1506
"0562 Finspång" "25-34 år" 2256 2010 1865 2161
"0562 Finspång" "35-44 år" 2797 2765 2697 2466
"0562 Finspång" "45-54 år" 2885 2686 2738 2846
"0562 Finspång" "55-64 år" 3023 3168 2945 2735
"0563 Valdemarsvik" "25-34 år" 771 614 580 621
"0563 Valdemarsvik" "35-44 år" 1008 1012 861 745
"0563 Valdemarsvik" "45-54 år" 1165 1038 1038 1016
"0563 Valdemarsvik" "55-64 år" 1330 1480 1356 1178
"0580 Linköping" "25-34 år" 20358 20397 21418 22649
"0580 Linköping" "35-44 år" 18273 18720 19226 19303
"0580 Linköping" "45-54 år" 16537 16469 17696 18624
"0580 Linköping" "55-64 år" 14920 15945 15911 15693
"0581 Norrköping" "25-34 år" 16231 16333 16430 17941
"0581 Norrköping" "35-44 år" 16985 17300 17293 17056
"0581 Norrköping" "45-54 år" 16102 15701 16634 17572
"0581 Norrköping" "55-64 år" 15381 16635 16068 15277
"0582 Söderköping" "25-34 år" 1390 1238 1200 1318
"0582 Söderköping" "35-44 år" 1945 1968 1841 1720
"0582 Söderköping" "45-54 år" 2115 1976 1866 1926
"0582 Söderköping" "55-64 år" 2018 2264 2124 1978
"0583 Motala" "25-34 år" 4929 4383 4138 4466
"0583 Motala" "35-44 år" 5729 5879 5647 5148
"0583 Motala" "45-54 år" 5888 5599 5685 5944
"0583 Motala" "55-64 år" 5306 5878 5830 5544
"0584 Vadstena" "25-34 år" 762 628 541 582
"0584 Vadstena" "35-44 år" 994 964 863 744
"0584 Vadstena" "45-54 år" 1061 960 999 1004
"0584 Vadstena" "55-64 år" 1052 1240 1148 1016
"0586 Mjölby" "25-34 år" 2838 2750 2633 2815
"0586 Mjölby" "35-44 år" 3442 3523 3618 3416
"0586 Mjölby" "45-54 år" 3367 3206 3357 3547
"0586 Mjölby" "55-64 år" 3322 3600 3353 3153
"0604 Aneby" "25-34 år" 589 579 577 685
"0604 Aneby" "35-44 år" 892 856 754 685
"0604 Aneby" "45-54 år" 917 941 922 899
"0604 Aneby" "55-64 år" 839 921 948 930
"0617 Gnosjö" "25-34 år" 1291 1027 981 1029
"0617 Gnosjö" "35-44 år" 1403 1363 1341 1220
"0617 Gnosjö" "45-54 år" 1377 1291 1268 1320
"0617 Gnosjö" "55-64 år" 1118 1288 1325 1187
"0642 Mullsjö" "25-34 år" 789 720 661 731
"0642 Mullsjö" "35-44 år" 904 924 927 865
"0642 Mullsjö" "45-54 år" 1016 892 845 844
"0642 Mullsjö" "55-64 år" 982 1140 1057 896
"0643 Habo" "25-34 år" 1148 1169 1183 1205
"0643 Habo" "35-44 år" 1333 1541 1607 1630
"0643 Habo" "45-54 år" 1371 1275 1338 1413
"0643 Habo" "55-64 år" 1231 1340 1322 1223
"0662 Gislaved" "25-34 år" 3768 3122 2878 2980
"0662 Gislaved" "35-44 år" 4400 4396 4067 3554
"0662 Gislaved" "45-54 år" 3834 3822 4082 4221
"0662 Gislaved" "55-64 år" 3496 3715 3642 3524
"0665 Vaggeryd" "25-34 år" 1472 1372 1335 1488
"0665 Vaggeryd" "35-44 år" 1717 1776 1806 1714
"0665 Vaggeryd" "45-54 år" 1704 1663 1727 1756
"0665 Vaggeryd" "55-64 år" 1499 1682 1623 1613
"0680 Jönköping" "25-34 år" 15780 15997 16809 18176
"0680 Jönköping" "35-44 år" 15767 16550 16684 16568
"0680 Jönköping" "45-54 år" 14648 14367 15389 16702
"0680 Jönköping" "55-64 år" 14055 15299 14716 14104
"0682 Nässjö" "25-34 år" 3304 2926 2872 3299
"0682 Nässjö" "35-44 år" 3745 3949 3775 3446
"0682 Nässjö" "45-54 år" 3876 3753 3830 4016
"0682 Nässjö" "55-64 år" 3685 3993 3876 3666
"0683 Värnamo" "25-34 år" 3808 3524 3355 3664
"0683 Värnamo" "35-44 år" 4537 4667 4402 3976
"0683 Värnamo" "45-54 år" 4261 4448 4590 4746
"0683 Värnamo" "55-64 år" 3862 4026 4125 4264
"0684 Sävsjö" "25-34 år" 1094 1039 1017 1135
"0684 Sävsjö" "35-44 år" 1412 1449 1309 1246
"0684 Sävsjö" "45-54 år" 1440 1366 1393 1462
