region,parti,procent
0513 Kinda,Centerpartiet,10.4
0513 Kinda,Folkpartiet,3.2
0513 Kinda,Kristdemokraterna,6.3
0513 Kinda,Miljöpartiet,5
0513 Kinda,Socialdemokraterna,31.7
0513 Kinda,Vänsterpartiet,4.6
0513 Kinda,Sverigedemokraterna,16.7
0513 Kinda,övriga partier,3
0513 Kinda,ogiltiga valsedlar,..
0513 Kinda,ej röstande,..
0560 Boxholm,Moderaterna,14.8
0560 Boxholm,Centerpartiet,8.3
0560 Boxholm,Folkpartiet,2.7
0560 Boxholm,Kristdemokraterna,4.4
0560 Boxholm,Miljöpartiet,4.2
0560 Boxholm,Socialdemokraterna,44.1
0560 Boxholm,Vänsterpartiet,4.3
0560 Boxholm,Sverigedemokraterna,15.6
0560 Boxholm,övriga partier,1.5
0560 Boxholm,ogiltiga valsedlar,..
0560 Boxholm,ej röstande,..
0561 Åtvidaberg,Moderaterna,18.4
0561 Åtvidaberg,Centerpartiet,7.9
0561 Åtvidaberg,Folkpartiet,2.8
0561 Åtvidaberg,Kristdemokraterna,3.8
0561 Åtvidaberg,Miljöpartiet,4.5
0561 Åtvidaberg,Socialdemokraterna,39.7
0561 Åtvidaberg,Vänsterpartiet,3.9
0561 Åtvidaberg,Sverigedemokraterna,17.2
0561 Åtvidaberg,övriga partier,1.8
0561 Åtvidaberg,ogiltiga valsedlar,..
0561 Åtvidaberg,ej röstande,..
0562 Finspång,Moderaterna,16.1
0562 Finspång,Centerpartiet,5.1
0562 Finspång,Folkpartiet,3.3
0562 Finspång,Kristdemokraterna,4.5
0562 Finspång,Miljöpartiet,4.6
0562 Finspång,Socialdemokraterna,43.2
0562 Finspång,Vänsterpartiet,5.3
0562 Finspång,Sverigedemokraterna,15.4
0562 Finspång,övriga partier,2.6
0562 Finspång,ogiltiga valsedlar,..
0562 Finspång,ej röstande,..
0563 Valdemarsvik,Moderaterna,20
0563 Valdemarsvik,Centerpartiet,10.5
0563 Valdemarsvik,Folkpartiet,2.8
0563 Valdemarsvik,Kristdemokraterna,3.5
0563 Valdemarsvik,Miljöpartiet,3.3
0563 Valdemarsvik,Socialdemokraterna,35.3
0563 Valdemarsvik,Vänsterpartiet,3.7
0563 Valdemarsvik,Sverigedemokraterna,18.5
0563 Valdemarsvik,övriga partier,2.4
0563 Valdemarsvik,ogiltiga valsedlar,..
0563 Valdemarsvik,ej röstande,..
0580 Linköping,Moderaterna,24.2
0580 Linköping,Centerpartiet,6.1
0580 Linköping,Folkpartiet,7
0580 Linköping,Kristdemokraterna,5.8
0580 Linköping,Miljöpartiet,8.2
0580 Linköping,Socialdemokraterna,29.1
0580 Linköping,Vänsterpartiet,4.7
0580 Linköping,Sverigedemokraterna,11.2
0580 Linköping,övriga partier,3.7
0580 Linköping,ogiltiga valsedlar,..
0580 Linköping,ej röstande,..
0581 Norrköping,Moderaterna,23.2
0581 Norrköping,Centerpartiet,4.5
0581 Norrköping,Folkpartiet,4.5
0581 Norrköping,Kristdemokraterna,4.6
0581 Norrköping,Miljöpartiet,6.9
0581 Norrköping,Socialdemokraterna,30.9
0581 Norrköping,Vänsterpartiet,5.5
0581 Norrköping,Sverigedemokraterna,16.3
0581 Norrköping,övriga partier,3.7
0581 Norrköping,ogiltiga valsedlar,..
0581 Norrköping,ej röstande,..
0582 Söderköping,Moderaterna,26
0582 Söderköping,Centerpartiet,8.7
0582 Söderköping,Folkpartiet,4.3
0582 Söderköping,Kristdemokraterna,5
0582 Söderköping,Miljöpartiet,5.8
0582 Söderköping,Socialdemokraterna,27
0582 Söderköping,Vänsterpartiet,3.8
0582 Söderköping,Sverigedemokraterna,16.5
0582 Söderköping,övriga partier,2.8
0582 Söderköping,ogiltiga valsedlar,..
0582 Söderköping,ej röstande,..
0583 Motala,Moderaterna,18.7
0583 Motala,Centerpartiet,5
0583 Motala,Folkpartiet,4.4
0583 Motala,Kristdemokraterna,3.8
0583 Motala,Miljöpartiet,4.9
0583 Motala,Socialdemokraterna,39.8
0583 Motala,Vänsterpartiet,4.8
0583 Motala,Sverigedemokraterna,16.2
0583 Motala,övriga partier,2.4
0583 Motala,ogiltiga valsedlar,..
0583 Motala,ej röstande,..
0584 Vadstena,Moderaterna,25.2
